question,link
How can I apply for the CPF Education Loan Scheme (CPFELS)?,https://www.cpf.gov.sg/member/faq/other-schemes/cpf-education-loan-scheme/how-do-i-apply-to-use-cpf-savings-under-cpf-education-loan-scheme
How can I apply for the CPF Education Loan Scheme (CPFELS)?,mailto:scholarships_financialaid@sutd.edu.sg
How can I apply for the CPF Education Loan Scheme (CPFELS)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/cpf-education-loan-scheme/
How can I apply for the CPF Education Loan Scheme (CPFELS)?,https://www.cpf.gov.sg/member/faq/other-schemes/cpf-education-loan-scheme
How can I apply for the CPF Education Loan Scheme (CPFELS)?,mailto:education@cpf.gov.sg
What should I do if my Guarantor(s) and I are not in Singapore?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/moe-tuition-fee-loan/
What should I do if my Guarantor(s) and I are not in Singapore?,https://www.dbs.com.sg/iwov-resources/media/pdf/loans/dbs-student-loans-digital-submission-prerequisite-guide.pdf
What should I do if my Guarantor(s) and I are not in Singapore?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/moe-study-loan-scheme/
What should I do if my Guarantor(s) and I are not in Singapore?,https://www.sutd.edu.sg/wp-content/uploads/2024/12/SUTD_SL_Application_Procedures.pdf
Do I have to pay interest for Tuition Fee Loan (TFL)/ Study Loan (SL) during my course of study and when does repayment of the loan commence?,https://www.abs.org.sg/benchmark-rates/prime-lending-rates
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.dbs.com.sg/personal/loans/education-loans/tuition-fee-loan
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/moe-tuition-fee-loan/
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.dbs.com.sg/iwov-resources/media/pdf/loans/dbs-student-loans-digital-submission-prerequisite-guide.pdf
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/wp-content/uploads/2025/01/OSA_SFA_UGSLApplForm_1.pdf
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/repo/wp-content/uploads/sites/2/2025/01/SUTD-Doc-CheckList_SL.pdf
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/moe-study-loan-scheme/
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.dbs.com.sg/personal/loans/education-loans/study-loan
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/wp-content/uploads/2024/12/SUTD_SL_Application_Procedures.pdf
What are the research opportunities available in SUTD for undergraduates?,https://www.sutd.edu.sg/campus-life/undergraduate-opportunities-programme/urop/
What are the research opportunities available in SUTD for undergraduates?,https://www.sutd.edu.sg/education/undergraduate/special-programmes/sharp/overview/
Are all students allowed to take a minor in SUTD and what are the requirements?,https://www.sutd.edu.sg/education/undergraduate/minors/
What are the undergraduate degree programmes offered by SUTD? Are there any part-time degree programmes?,https://www.sutd.edu.sg/education/undergraduate
What are the undergraduate degree programmes offered by SUTD? Are there any part-time degree programmes?,https://www.sutd.edu.sg/admissions/academy
What should I bring for my hostel stay?,https://www.sutd.edu.sg/campus-life/housing/freshmore-terms-1-2/what-to-bring/
Is there any financial aid for students who are unable to afford the housing fees?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/
How much does it cost to stay on campus?,https://www.sutd.edu.sg/campus-life/housing/
How are students assigned to their rooms? What if I am not comfortable with my assigned roommate?,mailto:ecchousing@sutd.edu.sg
What are the Mother Tongue Language (MTL) requirements for Singapore Citizens (SC)/Permanent Residents (SPR) presenting international qualifications?,https://www.sutd.edu.sg/admissions/undergraduate/admission-requirements/international-qualifications/
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/education/undergraduate/freshmore-subjects/
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/admissions/undergraduate/singapore-cambridge-gce-a-level/criteria-for-admission/
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/admissions/undergraduate/local-diploma/criteria-for-admission/
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/Admissions/Undergraduate/Application/Admissions-Requirements/International-Baccalaureate-Diploma-(Singapore)
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/admissions/undergraduate/nus-high-school-diploma/criteria-for-admission/
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/admissions/undergraduate/admission-requirements/international-qualifications/
How can I apply for a scholarship if I am not offered one at admission?,https://www.sutd.edu.sg/admissions/undergraduate/scholarship/external-sponsored/
What are the terms and conditions of the scholarships?,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Application-for-scholarships
How do I apply for scholarships at SUTD?,https://www.sutd.edu.sg/admissions/undergraduate/scholarship/sutd-administered/
Am I eligible for the SUTD Community Grant (SCG)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/sutd-community-grant/
Are students required to participate in internships while studying at SUTD?,https://www.sutd.edu.sg/campus-life/career-development/
Will there be any orientation for Freshmores?,https://www.sutd.edu.sg/education/undergraduate/academic-calendar/overview/ay2024-onwards/
"When would I be receiving matriculation details, including information on laptop requirements/ purchases etc?",mailto:studentadmin@sutd.edu.sg
"When would I be receiving matriculation details, including information on laptop requirements/ purchases etc?",https://www.sutd.edu.sg/admissions/undergraduate/early-matriculation/
When is the start of term/ Academic Year?,https://www.sutd.edu.sg/education/undergraduate/academic-calendar/overview/ay2024-onwards/
When is the application window to apply for special programmes? Is there a second window for SUTD students to apply for the programmes after they have enrolled in the university?,https://www.sutd.edu.sg/admissions/undergraduate/ask-admissions/
